
# This file can be used as a template for user-created/modified analysis inputs in the context of this particular model for these particular command-line arguments.
# The row after next MUST remain in the file in order for it to be parsable by the CSV reader. They indicate the following:
cell-total, time-start, time-col, cell-start, cell-end, specie-option,
10,0,1,0,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,

Time,Cell,ph1,ph7,ph13,pd,mh1,mh7,mh13,md,ph11,ph17,ph113,ph77,ph1313,ph713,
Time: 0,Cell: 0,5,5,5,6,5,5,5,5,5,5,5,5,5,0,
,Cell: 1,5,5,5,6,5,5,5,5,5,5,5,5,5,0,
,Cell: 2,5,5,5,6,5,5,5,5,5,5,5,5,5,0,
,Cell: 3,5,5,5,6,5,5,5,5,5,5,5,5,5,0,
,Cell: 4,5,5,5,6,5,5,5,5,5,5,5,5,5,0,
,Cell: 5,5,5,5,6,5,5,5,5,5,5,5,5,5,0,
,Cell: 6,5,5,5,6,5,5,5,5,5,5,5,5,5,0,
,Cell: 7,5,5,5,6,5,5,5,5,5,5,5,5,5,0,
,Cell: 8,5,5,5,6,5,5,5,5,5,5,5,5,5,0,
,Cell: 9,5,5,5,6,5,5,5,5,5,5,5,5,5,0,

Time: 1.00004,Cell: 0,3,3,48,5,5,3,51,4,3,4,6,4,7,0,
,Cell: 1,3,9,90,4,4,4,64,3,3,2,6,2,9,0,
,Cell: 2,4,4,70,5,5,2,38,3,5,3,4,3,13,0,
,Cell: 3,4,6,86,3,5,4,53,3,4,4,6,3,6,2,
,Cell: 4,3,4,61,4,4,3,45,2,2,3,7,4,9,0,
,Cell: 5,3,8,88,5,5,4,47,4,4,2,7,4,9,0,
,Cell: 6,4,3,67,5,5,5,43,4,4,3,5,3,6,1,
,Cell: 7,4,4,77,4,4,3,44,3,4,2,5,2,9,1,
,Cell: 8,5,4,62,5,4,4,47,4,3,2,5,5,7,0,
,Cell: 9,5,1,66,5,5,5,51,4,3,3,7,4,6,1,

Time: 2.00005,Cell: 0,1,0,208,4,5,2,98,2,1,2,10,2,99,1,
,Cell: 1,0,4,240,1,4,2,110,1,1,1,10,0,139,3,
,Cell: 2,1,1,188,4,4,1,71,1,5,3,6,3,93,2,
,Cell: 3,2,3,202,2,4,3,87,2,2,1,11,3,120,3,
,Cell: 4,2,3,225,3,4,2,84,1,2,1,8,3,102,2,
,Cell: 5,1,1,204,5,5,1,76,3,4,2,9,5,99,4,
,Cell: 6,1,1,207,3,3,4,89,3,2,2,6,3,81,1,
,Cell: 7,3,0,205,3,4,2,64,2,1,0,7,2,97,4,
,Cell: 8,3,0,184,2,3,4,83,3,2,0,5,5,104,3,
,Cell: 9,0,3,219,4,3,4,92,4,3,2,8,2,114,1,

Time: 3.00005,Cell: 0,1,0,285,3,5,0,135,2,1,1,8,2,346,1,
,Cell: 1,0,0,323,1,4,1,131,1,0,1,10,0,430,6,
,Cell: 2,2,1,252,3,3,1,101,0,3,2,10,2,275,4,
,Cell: 3,0,1,268,0,4,3,124,2,2,1,11,3,378,4,
,Cell: 4,1,1,259,3,3,1,111,1,2,0,10,2,335,5,
,Cell: 5,3,1,278,3,5,1,106,2,1,1,10,4,304,5,
,Cell: 6,1,1,256,1,2,3,121,3,1,0,6,2,331,3,
,Cell: 7,0,0,236,2,3,2,105,0,0,0,8,2,264,4,
,Cell: 8,0,0,281,2,3,2,118,2,1,0,8,3,312,2,
,Cell: 9,1,2,276,4,3,3,129,1,2,1,9,1,343,2,
,Cell: 11,1,0,285,3,5,0,135,2,1,1,8,2,346,1,
,Cell: 13,1,0,285,3,5,0,135,2,1,1,8,2,346,1,
,Cell: 18,1,0,285,3,5,0,135,2,1,1,8,2,346,1,

Time: 4.00005,Cell: 0,0,0,371,3,5,0,164,1,1,0,8,2,731,1,
,Cell: 1,0,0,364,0,4,0,158,0,0,0,10,0,749,6,
,Cell: 2,1,0,298,3,2,1,124,0,1,1,11,2,533,4,
,Cell: 3,0,0,333,0,3,2,151,1,2,1,7,3,671,5,
,Cell: 4,0,0,345,2,3,0,137,1,2,0,11,1,596,5,
,Cell: 5,0,0,309,2,3,1,132,2,1,1,9,3,547,7,
,Cell: 6,0,1,337,1,1,3,149,0,1,0,6,1,612,5,
,Cell: 7,0,2,303,2,3,2,133,0,0,0,8,0,513,6,
,Cell: 8,0,0,326,2,2,1,145,2,0,0,8,1,606,3,
,Cell: 9,0,0,307,3,2,3,162,0,1,1,11,0,676,4,
,Cell: 11,0,0,372,3,2,0,161,1,1,1,9,0,685,4,
,Cell: 13,0,0,348,3,4,0,172,2,0,0,9,0,688,0,
,Cell: 18,0,0,369,2,5,0,167,0,1,0,6,1,710,1,

Time: 5.00006,Cell: 0,0,0,385,2,4,0,195,1,0,0,7,1,1078,3,
,Cell: 1,0,0,392,0,3,0,176,0,0,0,8,0,1104,6,
,Cell: 2,0,1,320,2,1,1,175,0,1,0,12,1,845,3,
,Cell: 3,0,0,391,0,2,2,180,1,0,0,9,1,997,4,
,Cell: 15,0,0,401,2,4,0,192,0,0,0,9,0,1118,0,
,Cell: 5,0,0,350,2,2,0,151,0,1,1,9,3,828,4,
,Cell: 6,0,1,388,1,1,2,183,0,1,0,6,1,958,5,
,Cell: 7,0,0,315,2,3,2,164,0,0,0,8,0,829,7,
,Cell: 8,0,0,384,2,0,0,176,1,0,0,5,1,939,3,
,Cell: 9,0,0,394,3,2,1,195,0,1,1,9,0,1028,4,
,Cell: 11,0,0,414,2,2,0,194,1,0,1,9,0,1066,2,
,Cell: 13,0,0,401,2,4,0,192,0,0,0,9,0,1118,0,
,Cell: 18,0,0,390,2,4,0,195,0,1,0,6,1,1096,0,

Time: 6.00006,Cell: 0,0,0,419,1,1,0,208,0,0,0,6,1,1486,3,
,Cell: 1,0,0,380,0,3,0,205,0,0,0,7,0,1477,6,
,Cell: 2,0,0,410,2,1,1,192,0,1,0,9,0,1211,2,
,Cell: 3,0,0,410,0,2,2,199,1,0,0,4,1,1372,4,
,Cell: 15,0,0,399,2,3,0,208,0,0,0,9,0,1554,0,
,Cell: 8,0,0,394,0,0,0,202,1,0,0,5,0,1346,1,
,Cell: 9,0,0,430,2,2,1,224,0,1,0,9,0,1423,3,
,Cell: 11,0,0,426,1,1,0,216,1,0,0,7,0,1513,3,
,Cell: 13,0,0,429,2,3,0,223,0,0,0,7,0,1538,0,
,Cell: 18,0,0,431,1,4,0,214,0,1,0,5,1,1474,0,

Time: 7.00007,Cell: 0,0,0,440,1,1,0,231,0,0,0,5,0,1834,5,
,Cell: 1,0,0,433,0,3,0,238,0,0,0,7,0,1839,5,
,Cell: 2,0,0,449,1,1,1,218,0,1,0,7,0,1625,1,
,Cell: 3,0,0,459,0,2,2,226,1,0,0,3,1,1749,4,
,Cell: 15,0,0,435,1,1,0,230,0,0,0,9,0,1875,0,
,Cell: 8,0,0,428,0,0,0,213,0,0,0,3,0,1755,0,
,Cell: 9,0,0,450,2,1,0,241,0,1,0,7,0,1839,3,
,Cell: 11,0,0,433,1,1,0,245,1,0,0,6,0,1901,3,
,Cell: 13,0,0,450,2,3,0,238,0,0,0,4,0,1937,0,
,Cell: 18,0,0,440,0,3,0,238,0,1,0,5,1,1872,0,

Time: 8.00007,Cell: 0,0,1,457,0,1,0,258,0,0,0,4,0,2168,2,
,Cell: 1,0,0,454,0,2,0,252,0,0,0,6,0,2254,4,
,Cell: 2,0,0,513,1,1,1,260,0,1,0,7,0,2040,1,
,Cell: 3,0,0,486,0,2,2,249,1,0,0,1,1,2110,4,
,Cell: 15,0,0,434,1,1,0,242,0,0,0,9,0,2253,0,
,Cell: 8,0,0,449,0,0,0,219,0,0,0,3,0,2110,0,
,Cell: 9,0,0,514,1,1,0,251,0,1,0,5,0,2264,3,
,Cell: 11,0,0,459,0,1,0,263,0,0,0,5,0,2357,2,
,Cell: 13,0,0,492,2,2,0,250,0,0,0,3,0,2293,0,
,Cell: 18,0,0,470,0,3,0,249,0,1,0,4,1,2219,0,

Time: 9.00007,Cell: 0,0,0,511,0,1,0,284,0,0,0,4,0,2613,1,
,Cell: 1,0,0,492,0,1,0,268,0,0,0,6,0,2644,4,
,Cell: 2,0,0,508,1,1,1,284,0,1,0,7,0,2544,1,
,Cell: 3,0,0,507,0,1,2,270,0,0,0,1,0,2547,5,
,Cell: 15,0,0,480,1,1,0,253,0,0,0,5,0,2585,0,
,Cell: 8,0,0,461,0,0,0,234,0,0,0,2,0,2490,0,
,Cell: 9,0,0,506,0,0,0,282,0,0,0,4,0,2686,2,
,Cell: 11,0,0,521,0,1,0,289,0,0,0,5,0,2754,1,
,Cell: 13,0,0,501,1,1,0,265,0,0,0,3,0,2710,0,
,Cell: 18,0,0,499,0,2,0,261,0,0,0,6,1,2599,0,

Time: 10.0001,Cell: 0,0,0,529,0,0,0,308,0,0,0,4,0,3074,1,
,Cell: 1,0,0,504,0,1,0,287,0,0,0,6,0,2987,3,
,Cell: 2,0,0,518,1,1,0,306,0,0,0,6,0,2972,1,
,Cell: 3,0,0,486,0,1,1,278,0,0,0,1,0,2958,5,
,Cell: 15,0,0,474,1,1,0,261,0,0,0,4,0,2927,0,
,Cell: 8,0,0,496,0,0,0,240,0,0,0,1,0,2767,0,
,Cell: 9,0,0,527,0,0,0,290,0,0,0,4,0,3103,2,
,Cell: 11,0,0,535,0,0,0,319,0,0,0,1,0,3171,1,
,Cell: 13,0,0,488,1,0,0,293,0,0,0,3,0,3059,0,
,Cell: 18,0,0,459,0,0,0,269,0,0,0,5,1,2920,0,

Time: 11.0001,Cell: 0,0,0,519,0,0,0,324,0,0,0,2,0,3533,1,
,Cell: 1,0,0,537,0,1,0,295,0,0,0,5,0,3338,3,
,Cell: 2,0,0,539,0,1,0,334,0,0,0,3,0,3441,1,
,Cell: 3,0,0,581,0,1,1,286,0,0,0,1,0,3297,5,
,Cell: 15,0,0,505,1,0,0,286,0,0,0,4,0,3255,0,
,Cell: 8,0,0,486,0,0,0,252,0,0,0,1,0,3031,0,
,Cell: 9,0,0,493,0,0,0,296,0,0,0,4,0,3440,2,
,Cell: 11,0,0,540,0,0,0,316,0,0,0,1,0,3652,0,
,Cell: 13,0,0,513,1,0,0,298,0,0,0,2,0,3424,0,
,Cell: 18,0,0,504,0,0,0,282,0,0,0,4,0,3196,0,

Time: 12.0001,Cell: 0,0,0,538,0,0,0,328,0,0,0,2,0,3915,1,
,Cell: 1,0,0,550,0,1,0,321,0,0,0,5,0,3685,3,
,Cell: 2,0,0,561,0,0,0,328,0,0,0,3,0,3895,1,
,Cell: 3,0,0,513,0,1,1,286,0,0,0,0,0,3618,4,
,Cell: 15,0,0,537,1,0,0,285,0,0,0,3,0,3566,0,
,Cell: 8,0,0,477,0,0,0,265,0,0,0,1,0,3279,0,
,Cell: 9,0,0,506,0,0,0,300,0,0,0,4,0,3750,2,
,Cell: 11,0,0,542,0,0,0,332,0,0,0,1,0,4016,0,
,Cell: 13,0,0,580,1,0,0,305,0,0,0,2,0,3723,0,
,Cell: 18,0,0,523,0,0,0,294,0,0,0,3,0,3526,0,

Time: 13.0001,Cell: 0,0,0,593,0,0,0,339,0,0,0,2,0,4237,1,
,Cell: 1,0,0,590,0,1,0,339,0,0,0,4,0,4081,1,
,Cell: 2,0,0,564,0,0,0,322,0,0,0,2,0,4170,1,
,Cell: 3,0,0,515,0,1,1,297,0,0,0,0,0,3818,4,
,Cell: 15,0,0,578,0,0,0,308,0,0,0,3,0,3814,0,
,Cell: 8,0,0,548,0,0,0,283,0,0,0,0,0,3471,0,
,Cell: 9,0,0,540,0,0,0,316,0,0,0,4,0,4011,2,
,Cell: 11,0,0,578,0,0,0,338,0,0,0,1,0,4271,0,
,Cell: 13,0,0,546,1,0,0,316,0,0,0,1,0,4065,0,
,Cell: 18,0,0,527,0,0,0,297,0,0,0,3,0,3806,0,

Time: 14.0001,Cell: 0,0,0,580,0,0,0,347,0,0,0,2,0,4463,1,
,Cell: 1,0,0,582,0,1,0,335,0,0,0,4,0,4371,1,
,Cell: 2,0,0,548,0,0,0,325,0,0,0,1,0,4467,1,
,Cell: 3,0,0,550,0,1,1,313,0,0,0,0,0,4022,4,
,Cell: 15,0,0,547,0,0,0,306,0,0,0,2,0,4052,0,
,Cell: 8,0,0,557,0,0,0,294,0,0,0,0,0,3793,0,
,Cell: 9,0,0,543,0,0,0,325,0,0,0,4,0,4237,2,
,Cell: 11,0,0,574,0,0,0,348,0,0,0,1,0,4546,0,
,Cell: 13,0,0,554,0,0,0,329,0,0,0,0,0,4273,0,
,Cell: 18,0,0,553,0,0,0,317,0,0,0,3,0,4063,0,

Time: 15.0001,Cell: 0,0,0,575,0,0,0,354,0,0,0,2,0,4750,1,
,Cell: 1,0,0,561,0,1,0,347,0,0,0,3,0,4697,1,
,Cell: 2,0,0,577,0,0,0,352,0,0,0,1,0,4686,1,
,Cell: 3,0,0,571,0,0,1,307,0,0,0,0,0,4253,4,
,Cell: 15,0,0,556,0,0,0,325,0,0,0,2,0,4256,0,
,Cell: 8,0,0,539,0,0,0,309,0,0,0,0,0,4053,0,
,Cell: 9,0,0,563,0,0,0,329,0,0,0,4,0,4568,2,
,Cell: 11,0,0,579,0,0,0,345,0,0,0,1,0,4756,0,
,Cell: 13,0,0,580,0,0,0,341,0,0,0,0,0,4548,0,
,Cell: 18,0,0,586,0,0,0,335,0,0,0,3,0,4367,0,

Time: 16.0001,Cell: 0,0,0,597,0,0,0,355,0,0,0,1,0,5013,1,
,Cell: 1,0,0,615,0,1,0,373,0,0,0,2,0,4956,1,
,Cell: 2,0,0,602,0,0,0,371,0,0,0,0,0,4891,1,
,Cell: 3,0,0,560,0,0,0,333,0,0,0,0,0,4453,4,
,Cell: 15,0,0,547,0,0,0,344,0,0,0,1,0,4501,0,
,Cell: 8,0,0,538,0,0,0,323,0,0,0,0,0,4279,0,
,Cell: 9,0,0,588,0,0,0,359,0,0,0,3,0,4765,0,
,Cell: 11,0,0,590,0,0,0,362,0,0,0,1,0,4897,0,
,Cell: 13,0,0,585,0,0,0,340,0,0,0,0,0,4790,0,
,Cell: 18,0,0,561,0,0,0,350,0,0,0,2,0,4606,0,

Time: 17.0001,Cell: 0,0,0,573,0,0,0,352,0,0,0,1,0,5189,1,
,Cell: 1,0,0,595,0,1,0,360,0,0,0,2,0,5209,1,
,Cell: 2,0,0,618,0,0,0,386,0,0,0,0,0,5233,1,
,Cell: 3,0,0,618,0,0,0,329,0,0,0,0,0,4708,2,
,Cell: 15,0,0,604,0,0,0,356,0,0,0,1,0,4750,0,
,Cell: 8,0,0,614,0,0,0,342,0,0,0,0,0,4493,0,
,Cell: 9,0,0,607,0,0,0,375,0,0,0,2,0,5091,0,
,Cell: 11,0,0,591,0,0,0,370,0,0,0,1,0,5228,0,
,Cell: 13,0,0,594,0,0,0,349,0,0,0,0,0,4981,0,
,Cell: 18,0,0,581,0,0,0,363,0,0,0,2,0,4895,0,

Time: 18.0001,Cell: 0,0,0,577,0,0,0,349,0,0,0,1,0,5358,1,
,Cell: 1,0,0,585,0,1,0,368,0,0,0,1,0,5456,0,
,Cell: 2,0,0,617,0,0,0,385,0,0,0,0,0,5527,1,
,Cell: 3,0,0,583,0,0,0,353,0,0,0,0,0,4927,2,
,Cell: 15,0,0,627,0,0,0,363,0,0,0,1,0,5019,0,
,Cell: 8,0,0,563,0,0,0,349,0,0,0,0,0,4773,0,
,Cell: 9,0,0,601,0,0,0,371,0,0,0,1,0,5343,0,
,Cell: 11,0,0,573,0,0,0,359,0,0,0,0,0,5427,0,
,Cell: 13,0,0,540,0,0,0,354,0,0,0,0,0,5154,0,
,Cell: 18,0,0,578,0,0,0,362,0,0,0,2,0,5155,0,

Time: 19.0001,Cell: 0,0,0,622,0,0,0,357,0,0,0,1,0,5445,1,
,Cell: 1,0,0,622,0,1,0,387,0,0,0,1,0,5666,0,
,Cell: 2,0,0,636,0,0,0,398,0,0,0,0,0,5753,1,
,Cell: 3,0,0,601,0,0,0,346,0,0,0,0,0,5143,2,
,Cell: 15,0,0,603,0,0,0,355,0,0,0,1,0,5284,0,
,Cell: 8,0,0,550,0,0,0,367,0,0,0,0,0,5036,0,
,Cell: 9,0,0,632,0,0,0,386,0,0,0,1,0,5542,0,
