
# This file can be used as a template for user-created/modified analysis inputs in the context of this particular model for these particular command-line arguments.
# The row after next MUST remain in the file in order for it to be parsable by the CSV reader. They indicate the following:
cell-total, time-start, time-col, cell-start, cell-end, specie-option,
20,0,1,0,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,

Time,Cell,ph1,ph7,ph13,pd,mh1,mh7,mh13,md,ph11,ph17,ph113,ph77,ph1313,ph713,
Time: 0,Cell: 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

Time: 1.00001,Cell: 20,0,0,44,0,0,0,46,0,0,0,0,0,1,0,
,Cell: 21,0,0,49,0,0,0,56,0,0,0,0,0,4,0,
,Cell: 22,0,0,31,0,0,0,46,0,0,0,0,0,0,0,
,Cell: 23,0,0,54,0,0,0,46,0,0,0,0,0,2,0,
,Cell: 4,0,0,27,0,0,0,36,0,0,0,0,0,2,0,
,Cell: 5,0,0,52,0,0,0,62,0,0,0,0,0,3,0,
,Cell: 6,0,0,30,0,0,0,51,0,0,0,0,0,0,0,
,Cell: 7,0,0,18,0,0,0,49,0,0,0,0,0,1,0,
,Cell: 8,0,0,34,0,0,0,50,0,0,0,0,0,2,0,
,Cell: 9,0,0,50,0,0,0,50,0,0,0,0,0,5,0,
,Cell: 10,0,0,39,0,0,0,43,0,0,0,0,0,2,0,
,Cell: 11,0,0,39,0,0,0,42,0,0,0,0,0,0,0,
,Cell: 12,0,0,33,0,0,0,38,0,0,0,0,0,1,0,
,Cell: 13,0,0,41,0,0,0,46,0,0,0,0,0,3,0,
,Cell: 14,0,0,47,0,0,0,43,0,0,0,0,0,0,0,
,Cell: 15,0,0,56,0,0,0,45,0,0,0,0,0,1,0,
,Cell: 16,0,0,54,0,0,0,46,0,0,0,0,0,2,0,
,Cell: 17,0,0,49,0,0,0,56,0,0,0,0,0,4,0,
,Cell: 18,0,0,44,0,0,0,46,0,0,0,0,0,1,0,
,Cell: 19,0,0,31,0,0,0,46,0,0,0,0,0,0,0,

Time: 2.00001,Cell: 20,0,0,206,0,0,0,79,0,0,0,0,0,97,0,
,Cell: 21,0,0,234,0,0,0,90,0,0,0,0,0,111,0,
,Cell: 22,0,0,196,0,0,0,87,0,0,0,0,0,77,0,
,Cell: 23,0,0,197,0,0,0,77,0,0,0,0,0,78,0,
,Cell: 24,0,0,206,0,0,0,79,0,0,0,0,0,97,0,
,Cell: 25,0,0,196,0,0,0,87,0,0,0,0,0,77,0,
,Cell: 26,0,0,197,0,0,0,77,0,0,0,0,0,78,0,
,Cell: 27,0,0,234,0,0,0,90,0,0,0,0,0,111,0,
,Cell: 8,0,0,210,0,0,0,88,0,0,0,0,0,100,0,
,Cell: 9,0,0,208,0,0,0,83,0,0,0,0,0,84,0,
,Cell: 10,0,0,187,0,0,0,82,0,0,0,0,0,81,0,
,Cell: 11,0,0,174,0,0,0,82,0,0,0,0,0,77,0,
,Cell: 12,0,0,199,0,0,0,75,0,0,0,0,0,58,0,
,Cell: 13,0,0,196,0,0,0,84,0,0,0,0,0,96,0,
,Cell: 14,0,0,185,0,0,0,74,0,0,0,0,0,77,0,
,Cell: 15,0,0,211,0,0,0,74,0,0,0,0,0,93,0,
,Cell: 16,0,0,215,0,0,0,82,0,0,0,0,0,102,0,
,Cell: 17,0,0,226,0,0,0,97,0,0,0,0,0,117,0,
,Cell: 18,0,0,191,0,0,0,82,0,0,0,0,0,82,0,
,Cell: 19,0,0,190,0,0,0,80,0,0,0,0,0,71,0,

Time: 3.00001,Cell: 20,0,0,289,0,0,0,110,0,0,0,0,0,285,0,
,Cell: 21,0,0,298,0,0,0,121,0,0,0,0,0,356,0,
,Cell: 22,0,0,254,0,0,0,127,0,0,0,0,0,321,0,
,Cell: 23,0,0,270,0,0,0,120,0,0,0,0,0,297,0,
,Cell: 24,0,0,232,0,0,0,117,0,0,0,0,0,321,0,
,Cell: 25,0,0,272,0,0,0,121,0,0,0,0,0,333,0,
,Cell: 26,0,0,263,0,0,0,113,0,0,0,0,0,274,0,
,Cell: 27,0,0,285,0,0,0,120,0,0,0,0,0,387,0,
,Cell: 28,0,0,263,0,0,0,113,0,0,0,0,0,274,0,
,Cell: 29,0,0,285,0,0,0,120,0,0,0,0,0,387,0,
,Cell: 30,0,0,232,0,0,0,117,0,0,0,0,0,321,0,
,Cell: 31,0,0,272,0,0,0,121,0,0,0,0,0,333,0,
,Cell: 12,0,0,271,0,0,0,101,0,0,0,0,0,275,0,
,Cell: 13,0,0,282,0,0,0,122,0,0,0,0,0,311,0,
,Cell: 14,0,0,260,0,0,0,107,0,0,0,0,0,270,0,
,Cell: 15,0,0,246,0,0,0,104,0,0,0,0,0,315,0,
,Cell: 16,0,0,261,0,0,0,111,0,0,0,0,0,321,0,
,Cell: 17,0,0,292,0,0,0,132,0,0,0,0,0,390,0,
,Cell: 18,0,0,288,0,0,0,111,0,0,0,0,0,292,0,
,Cell: 19,0,0,267,0,0,0,117,0,0,0,0,0,290,0,

Time: 4.00002,Cell: 20,0,0,305,0,0,0,136,0,0,0,0,0,580,0,
,Cell: 21,0,0,348,0,0,0,153,0,0,0,0,0,661,0,
,Cell: 22,0,0,316,0,0,0,160,0,0,0,0,0,637,0,
,Cell: 23,0,0,333,0,0,0,150,0,0,0,0,0,632,0,
,Cell: 24,0,0,338,0,0,0,144,0,0,0,0,0,616,0,
,Cell: 25,0,0,325,0,0,0,157,0,0,0,0,0,633,0,
,Cell: 26,0,0,338,0,0,0,146,0,0,0,0,0,559,0,
,Cell: 27,0,0,334,0,0,0,145,0,0,0,0,0,684,0,
,Cell: 28,0,0,328,0,0,0,141,0,0,0,0,0,577,0,
,Cell: 29,0,0,350,0,0,0,143,0,0,0,0,0,672,0,
,Cell: 30,0,0,329,0,0,0,143,0,0,0,0,0,583,0,
,Cell: 31,0,0,340,0,0,0,154,0,0,0,0,0,613,0,
,Cell: 32,0,0,328,0,0,0,141,0,0,0,0,0,577,0,
,Cell: 33,0,0,340,0,0,0,154,0,0,0,0,0,613,0,
,Cell: 34,0,0,350,0,0,0,143,0,0,0,0,0,672,0,
,Cell: 35,0,0,329,0,0,0,143,0,0,0,0,0,583,0,
,Cell: 16,0,0,306,0,0,0,136,0,0,0,0,0,595,0,
,Cell: 17,0,0,325,0,0,0,170,0,0,0,0,0,724,0,
,Cell: 18,0,0,316,0,0,0,144,0,0,0,0,0,580,0,
,Cell: 19,0,0,324,0,0,0,153,0,0,0,0,0,596,0,

Time: 5.00003,Cell: 20,0,0,368,0,0,0,167,0,0,0,0,0,856,0,
,Cell: 21,0,0,405,0,0,0,201,0,0,0,0,0,1046,0,
,Cell: 22,0,0,380,0,0,0,186,0,0,0,0,0,964,0,
,Cell: 23,0,0,376,0,0,0,177,0,0,0,0,0,1000,0,
,Cell: 24,0,0,366,0,0,0,173,0,0,0,0,0,929,0,
,Cell: 25,0,0,366,0,0,0,183,0,0,0,0,0,1006,0,
,Cell: 26,0,0,372,0,0,0,165,0,0,0,0,0,901,0,
,Cell: 27,0,0,383,0,0,0,156,0,0,0,0,0,1009,0,
,Cell: 28,0,0,363,0,0,0,175,0,0,0,0,0,894,0,
,Cell: 29,0,0,380,0,0,0,169,0,0,0,0,0,1007,0,
,Cell: 30,0,0,378,0,0,0,177,0,0,0,0,0,933,0,
,Cell: 31,0,0,373,0,0,0,184,0,0,0,0,0,987,0,
,Cell: 32,0,0,379,0,0,0,172,0,0,0,0,0,925,0,
,Cell: 33,0,0,396,0,0,0,185,0,0,0,0,0,979,0,
,Cell: 34,0,0,357,0,0,0,169,0,0,0,0,0,968,0,
,Cell: 35,0,0,357,0,0,0,173,0,0,0,0,0,922,0,
,Cell: 36,0,0,379,0,0,0,172,0,0,0,0,0,925,0,
,Cell: 37,0,0,396,0,0,0,185,0,0,0,0,0,979,0,
,Cell: 38,0,0,357,0,0,0,173,0,0,0,0,0,922,0,
,Cell: 39,0,0,357,0,0,0,169,0,0,0,0,0,968,0,

