
# This file can be used as a template for user-created/modified analysis inputs in the context of this particular model for these particular command-line arguments.
# The row after next MUST remain in the file in order for it to be parsable by the CSV reader. They indicate the following:
cell-total, time-start, time-col, cell-start, cell-end, specie-option,
20,0,1,0,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,

Time,Cell,ph1,ph7,ph13,pd,mh1,mh7,mh13,md,ph11,ph17,ph113,ph77,ph1313,ph713,
Time: 0,Cell: 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

Time: 1.00001,Cell: 20,0,0,186,0,0,0,71,0,0,0,0,0,190,0,
,Cell: 21,0,0,217,0,0,0,66,0,0,0,0,0,221,0,
,Cell: 22,0,0,203,0,0,0,70,0,0,0,0,0,216,0,
,Cell: 23,0,0,162,0,0,0,45,0,0,0,0,0,148,0,
,Cell: 4,0,0,183,0,0,0,59,0,0,0,0,0,194,0,
,Cell: 5,0,0,191,0,0,0,76,0,0,0,0,0,244,0,
,Cell: 6,0,0,175,0,0,0,55,0,0,0,0,0,189,0,
,Cell: 7,0,0,144,0,0,0,64,0,0,0,0,0,153,0,
,Cell: 8,0,0,194,0,0,0,56,0,0,0,0,0,306,0,
,Cell: 9,0,0,163,0,0,0,61,0,0,0,0,0,213,0,
,Cell: 10,0,0,150,0,0,0,45,0,0,0,0,0,136,0,
,Cell: 11,0,0,209,0,0,0,71,0,0,0,0,0,265,0,
,Cell: 12,0,0,185,0,0,0,73,0,0,0,0,0,233,0,
,Cell: 13,0,0,176,0,0,0,57,0,0,0,0,0,202,0,
,Cell: 14,0,0,171,0,0,0,56,0,0,0,0,0,206,0,
,Cell: 15,0,0,174,0,0,0,58,0,0,0,0,0,256,0,
,Cell: 16,0,0,186,0,0,0,71,0,0,0,0,0,190,0,
,Cell: 17,0,0,203,0,0,0,70,0,0,0,0,0,216,0,
,Cell: 18,0,0,162,0,0,0,45,0,0,0,0,0,148,0,
,Cell: 19,0,0,217,0,0,0,66,0,0,0,0,0,221,0,

Time: 2.00001,Cell: 20,0,0,343,0,0,0,119,0,0,0,0,0,1107,0,
,Cell: 21,0,0,302,0,0,0,126,0,0,0,0,0,1172,0,
,Cell: 22,0,0,328,0,0,0,127,0,0,0,0,0,1176,0,
,Cell: 23,0,0,264,0,0,0,103,0,0,0,0,0,851,0,
,Cell: 24,0,0,302,0,0,0,126,0,0,0,0,0,1172,0,
,Cell: 25,0,0,343,0,0,0,119,0,0,0,0,0,1107,0,
,Cell: 26,0,0,328,0,0,0,127,0,0,0,0,0,1176,0,
,Cell: 27,0,0,264,0,0,0,103,0,0,0,0,0,851,0,
,Cell: 8,0,0,307,0,0,0,117,0,0,0,0,0,1004,0,
,Cell: 9,0,0,298,0,0,0,107,0,0,0,0,0,1022,0,
,Cell: 10,0,0,256,0,0,0,100,0,0,0,0,0,845,0,
,Cell: 11,0,0,338,0,0,0,127,0,0,0,0,0,1312,0,
,Cell: 12,0,0,324,0,0,0,129,0,0,0,0,0,1232,0,
,Cell: 13,0,0,288,0,0,0,94,0,0,0,0,0,893,0,
,Cell: 14,0,0,332,0,0,0,116,0,0,0,0,0,1074,0,
,Cell: 15,0,0,323,0,0,0,120,0,0,0,0,0,981,0,
,Cell: 16,0,0,320,0,0,0,101,0,0,0,0,0,1105,0,
,Cell: 17,0,0,325,0,0,0,121,0,0,0,0,0,1217,0,
,Cell: 18,0,0,283,0,0,0,99,0,0,0,0,0,769,0,
,Cell: 19,0,0,307,0,0,0,112,0,0,0,0,0,1157,0,

Time: 3.00001,Cell: 20,0,0,412,0,0,0,172,0,0,0,0,0,2230,0,
,Cell: 21,0,0,429,0,0,0,172,0,0,0,0,0,2265,0,
,Cell: 22,0,0,413,0,0,0,176,0,0,0,0,0,2156,0,
,Cell: 23,0,0,376,0,0,0,156,0,0,0,0,0,1803,0,
,Cell: 24,0,0,420,0,0,0,189,0,0,0,0,0,2331,0,
,Cell: 25,0,0,436,0,0,0,179,0,0,0,0,0,2180,0,
,Cell: 26,0,0,422,0,0,0,183,0,0,0,0,0,2291,0,
,Cell: 27,0,0,414,0,0,0,151,0,0,0,0,0,1899,0,
,Cell: 28,0,0,422,0,0,0,183,0,0,0,0,0,2291,0,
,Cell: 29,0,0,420,0,0,0,189,0,0,0,0,0,2331,0,
,Cell: 30,0,0,436,0,0,0,179,0,0,0,0,0,2180,0,
,Cell: 31,0,0,414,0,0,0,151,0,0,0,0,0,1899,0,
,Cell: 12,0,0,433,0,0,0,182,0,0,0,0,0,2472,0,
,Cell: 13,0,0,346,0,0,0,133,0,0,0,0,0,1632,0,
,Cell: 14,0,0,451,0,0,0,169,0,0,0,0,0,2152,0,
,Cell: 15,0,0,414,0,0,0,166,0,0,0,0,0,2032,0,
,Cell: 16,0,0,394,0,0,0,135,0,0,0,0,0,1902,0,
,Cell: 17,0,0,448,0,0,0,170,0,0,0,0,0,2233,0,
,Cell: 18,0,0,397,0,0,0,153,0,0,0,0,0,1770,0,
,Cell: 19,0,0,399,0,0,0,154,0,0,0,0,0,2008,0,

Time: 4.00002,Cell: 20,0,0,489,0,0,0,208,0,0,0,0,0,3125,0,
,Cell: 21,0,0,482,0,0,0,218,0,0,0,0,0,3313,0,
,Cell: 22,0,0,490,0,0,0,211,0,0,0,0,0,3254,0,
,Cell: 23,0,0,473,0,0,0,210,0,0,0,0,0,3042,0,
,Cell: 24,0,0,491,0,0,0,218,0,0,0,0,0,3414,0,
,Cell: 25,0,0,456,0,0,0,208,0,0,0,0,0,3331,0,
,Cell: 26,0,0,500,0,0,0,234,0,0,0,0,0,3449,0,
,Cell: 27,0,0,454,0,0,0,187,0,0,0,0,0,2806,0,
,Cell: 28,0,0,518,0,0,0,229,0,0,0,0,0,3459,0,
,Cell: 29,0,0,492,0,0,0,220,0,0,0,0,0,3560,0,
,Cell: 30,0,0,505,0,0,0,218,0,0,0,0,0,3235,0,
,Cell: 31,0,0,442,0,0,0,195,0,0,0,0,0,2791,0,
,Cell: 32,0,0,505,0,0,0,218,0,0,0,0,0,3235,0,
,Cell: 33,0,0,442,0,0,0,195,0,0,0,0,0,2791,0,
,Cell: 34,0,0,518,0,0,0,229,0,0,0,0,0,3459,0,
,Cell: 35,0,0,492,0,0,0,220,0,0,0,0,0,3560,0,
,Cell: 16,0,0,448,0,0,0,187,0,0,0,0,0,2664,0,
,Cell: 17,0,0,485,0,0,0,206,0,0,0,0,0,3199,0,
,Cell: 18,0,0,465,0,0,0,198,0,0,0,0,0,2818,0,
,Cell: 19,0,0,473,0,0,0,189,0,0,0,0,0,2854,0,

Time: 5.00002,Cell: 20,0,0,532,0,0,0,250,0,0,0,0,0,4042,0,
,Cell: 21,0,0,544,0,0,0,253,0,0,0,0,0,4186,0,
,Cell: 22,0,0,533,0,0,0,256,0,0,0,0,0,4217,0,
,Cell: 23,0,0,523,0,0,0,252,0,0,0,0,0,4056,0,
,Cell: 24,0,0,527,0,0,0,252,0,0,0,0,0,4332,0,
,Cell: 25,0,0,530,0,0,0,260,0,0,0,0,0,4170,0,
,Cell: 26,0,0,554,0,0,0,270,0,0,0,0,0,4377,0,
,Cell: 27,0,0,526,0,0,0,228,0,0,0,0,0,3619,0,
,Cell: 28,0,0,538,0,0,0,263,0,0,0,0,0,4498,0,
,Cell: 29,0,0,567,0,0,0,260,0,0,0,0,0,4403,0,
,Cell: 30,0,0,532,0,0,0,271,0,0,0,0,0,4302,0,
,Cell: 31,0,0,522,0,0,0,236,0,0,0,0,0,3720,0,
,Cell: 32,0,0,510,0,0,0,251,0,0,0,0,0,4228,0,
,Cell: 33,0,0,555,0,0,0,221,0,0,0,0,0,3777,0,
,Cell: 34,0,0,543,0,0,0,254,0,0,0,0,0,4353,0,
,Cell: 35,0,0,526,0,0,0,241,0,0,0,0,0,4414,0,
,Cell: 36,0,0,543,0,0,0,254,0,0,0,0,0,4353,0,
,Cell: 37,0,0,555,0,0,0,221,0,0,0,0,0,3777,0,
