
# This file can be used as a template for user-created/modified analysis inputs in the context of this particular model for these particular command-line arguments.
# The row after next MUST remain in the file in order for it to be parsable by the CSV reader. They indicate the following:
cell-total, time-start, time-col, cell-start, cell-end, specie-option,
20,0,1,0,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,

Time,Cell,ph1,ph7,ph13,pd,mh1,mh7,mh13,md,ph11,ph17,ph113,ph77,ph1313,ph713,
Time: 0,Cell: 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

Time: 1.00016,Cell: 20,0,0,0,0,0,0,57,0,0,0,0,0,0,0,
,Cell: 21,0,0,0,0,0,0,41,0,0,0,0,0,0,0,
,Cell: 22,0,0,0,0,0,0,60,0,0,0,0,0,0,0,
,Cell: 23,0,0,0,0,0,0,62,0,0,0,0,0,0,0,
,Cell: 4,0,0,0,0,0,0,64,0,0,0,0,0,0,0,
,Cell: 5,0,0,0,0,0,0,59,0,0,0,0,0,0,0,
,Cell: 6,0,0,0,0,0,0,53,0,0,0,0,0,0,0,
,Cell: 7,0,0,0,0,0,0,52,0,0,0,0,0,0,0,
,Cell: 8,0,0,0,0,0,0,48,0,0,0,0,0,0,0,
,Cell: 9,0,0,0,0,0,0,58,0,0,0,0,0,0,0,
,Cell: 10,0,0,0,0,0,0,56,0,0,0,0,0,0,0,
,Cell: 11,0,0,0,0,0,0,71,0,0,0,0,0,0,0,
,Cell: 12,0,0,0,0,0,0,44,0,0,0,0,0,0,0,
,Cell: 13,0,0,0,0,0,0,49,0,0,0,0,0,0,0,
,Cell: 14,0,0,0,0,0,0,44,0,0,0,0,0,0,0,
,Cell: 15,0,0,0,0,0,0,54,0,0,0,0,0,0,0,
,Cell: 16,0,0,0,0,0,0,57,0,0,0,0,0,0,0,
,Cell: 17,0,0,0,0,0,0,43,0,0,0,0,0,0,0,
,Cell: 18,0,0,0,0,0,0,65,0,0,0,0,0,0,0,
,Cell: 19,0,0,0,0,0,0,52,0,0,0,0,0,0,0,

Time: 2.00024,Cell: 20,0,0,0,0,0,0,94,0,0,0,0,0,0,0,
,Cell: 21,0,0,0,0,0,0,99,0,0,0,0,0,0,0,
,Cell: 22,0,0,0,0,0,0,116,0,0,0,0,0,0,0,
,Cell: 23,0,0,0,0,0,0,118,0,0,0,0,0,0,0,
,Cell: 24,0,0,0,0,0,0,115,0,0,0,0,0,0,0,
,Cell: 25,0,0,0,0,0,0,114,0,0,0,0,0,0,0,
,Cell: 26,0,0,0,0,0,0,107,0,0,0,0,0,0,0,
,Cell: 27,0,0,0,0,0,0,95,0,0,0,0,0,0,0,
,Cell: 8,0,0,0,0,0,0,96,0,0,0,0,0,0,0,
,Cell: 9,0,0,0,0,0,0,106,0,0,0,0,0,0,0,
,Cell: 10,0,0,0,0,0,0,94,0,0,0,0,0,0,0,
,Cell: 11,0,0,0,0,0,0,103,0,0,0,0,0,0,0,
,Cell: 12,0,0,0,0,0,0,97,0,0,0,0,0,0,0,
,Cell: 13,0,0,0,0,0,0,105,0,0,0,0,0,0,0,
,Cell: 14,0,0,0,0,0,0,101,0,0,0,0,0,0,0,
,Cell: 15,0,0,0,0,0,0,100,0,0,0,0,0,0,0,
,Cell: 16,0,0,0,0,0,0,92,0,0,0,0,0,0,0,
,Cell: 17,0,0,0,0,0,0,105,0,0,0,0,0,0,0,
,Cell: 18,0,0,0,0,0,0,99,0,0,0,0,0,0,0,
,Cell: 19,0,0,0,0,0,0,108,0,0,0,0,0,0,0,

Time: 3.00045,Cell: 20,0,0,0,0,0,0,132,0,0,0,0,0,0,0,
,Cell: 21,0,0,0,0,0,0,136,0,0,0,0,0,0,0,
,Cell: 22,0,0,0,0,0,0,153,0,0,0,0,0,0,0,
,Cell: 23,0,0,0,0,0,0,159,0,0,0,0,0,0,0,
,Cell: 24,0,0,0,0,0,0,151,0,0,0,0,0,0,0,
,Cell: 25,0,0,0,0,0,0,142,0,0,0,0,0,0,0,
,Cell: 26,0,0,0,0,0,0,141,0,0,0,0,0,0,0,
,Cell: 27,0,0,0,0,0,0,139,0,0,0,0,0,0,0,
,Cell: 28,0,0,0,0,0,0,146,0,0,0,0,0,0,0,
,Cell: 29,0,0,0,0,0,0,154,0,0,0,0,0,0,0,
,Cell: 30,0,0,0,0,0,0,140,0,0,0,0,0,0,0,
,Cell: 31,0,0,0,0,0,0,159,0,0,0,0,0,0,0,
,Cell: 12,0,0,0,0,0,0,138,0,0,0,0,0,0,0,
,Cell: 13,0,0,0,0,0,0,161,0,0,0,0,0,0,0,
,Cell: 14,0,0,0,0,0,0,145,0,0,0,0,0,0,0,
,Cell: 15,0,0,0,0,0,0,147,0,0,0,0,0,0,0,
,Cell: 16,0,0,0,0,0,0,138,0,0,0,0,0,0,0,
,Cell: 17,0,0,0,0,0,0,149,0,0,0,0,0,0,0,
,Cell: 18,0,0,0,0,0,0,146,0,0,0,0,0,0,0,
,Cell: 19,0,0,0,0,0,0,152,0,0,0,0,0,0,0,

Time: 4.00049,Cell: 20,0,0,0,0,0,0,162,0,0,0,0,0,0,0,
,Cell: 21,0,0,0,0,0,0,182,0,0,0,0,0,0,0,
,Cell: 22,0,0,0,0,0,0,170,0,0,0,0,0,0,0,
,Cell: 23,0,0,0,0,0,0,181,0,0,0,0,0,0,0,
,Cell: 24,0,0,0,0,0,0,189,0,0,0,0,0,0,0,
,Cell: 25,0,0,0,0,0,0,172,0,0,0,0,0,0,0,
,Cell: 26,0,0,0,0,0,0,178,0,0,0,0,0,0,0,
,Cell: 27,0,0,0,0,0,0,169,0,0,0,0,0,0,0,
,Cell: 28,0,0,0,0,0,0,185,0,0,0,0,0,0,0,
,Cell: 29,0,0,0,0,0,0,186,0,0,0,0,0,0,0,
,Cell: 30,0,0,0,0,0,0,186,0,0,0,0,0,0,0,
,Cell: 31,0,0,0,0,0,0,175,0,0,0,0,0,0,0,
,Cell: 32,0,0,0,0,0,0,175,0,0,0,0,0,0,0,
,Cell: 33,0,0,0,0,0,0,198,0,0,0,0,0,0,0,
,Cell: 34,0,0,0,0,0,0,188,0,0,0,0,0,0,0,
,Cell: 35,0,0,0,0,0,0,182,0,0,0,0,0,0,0,
,Cell: 16,0,0,0,0,0,0,175,0,0,0,0,0,0,0,
,Cell: 17,0,0,0,0,0,0,184,0,0,0,0,0,0,0,
,Cell: 18,0,0,0,0,0,0,177,0,0,0,0,0,0,0,
,Cell: 19,0,0,0,0,0,0,183,0,0,0,0,0,0,0,

Time: 5.0007,Cell: 20,0,0,0,0,0,0,186,0,0,0,0,0,0,0,
,Cell: 21,0,0,0,0,0,0,226,0,0,0,0,0,0,0,
,Cell: 22,0,0,0,0,0,0,206,0,0,0,0,0,0,0,
,Cell: 23,0,0,0,0,0,0,208,0,0,0,0,0,0,0,
,Cell: 24,0,0,0,0,0,0,211,0,0,0,0,0,0,0,
,Cell: 25,0,0,0,0,0,0,205,0,0,0,0,0,0,0,
,Cell: 26,0,0,0,0,0,0,220,0,0,0,0,0,0,0,
,Cell: 27,0,0,0,0,0,0,200,0,0,0,0,0,0,0,
,Cell: 28,0,0,0,0,0,0,211,0,0,0,0,0,0,0,
,Cell: 29,0,0,0,0,0,0,220,0,0,0,0,0,0,0,
,Cell: 30,0,0,0,0,0,0,213,0,0,0,0,0,0,0,
,Cell: 31,0,0,0,0,0,0,210,0,0,0,0,0,0,0,
,Cell: 32,0,0,0,0,0,0,200,0,0,0,0,0,0,0,
,Cell: 33,0,0,0,0,0,0,220,0,0,0,0,0,0,0,
,Cell: 34,0,0,0,0,0,0,227,0,0,0,0,0,0,0,
,Cell: 35,0,0,0,0,0,0,208,0,0,0,0,0,0,0,
,Cell: 36,0,0,0,0,0,0,205,0,0,0,0,0,0,0,
,Cell: 37,0,0,0,0,0,0,204,0,0,0,0,0,0,0,
,Cell: 38,0,0,0,0,0,0,207,0,0,0,0,0,0,0,
,Cell: 39,0,0,0,0,0,0,216,0,0,0,0,0,0,0,

