
# This file can be used as a template for user-created/modified analysis inputs in the context of this particular model for these particular command-line arguments.
# The row after next MUST remain in the file in order for it to be parsable by the CSV reader. They indicate the following:
cell-total, time-start, time-col, cell-start, cell-end, specie-option,
16,0,1,0,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,

Time,Cell,ph1,ph7,ph13,pd,mh1,mh7,mh13,md,ph11,ph17,ph113,ph77,ph1313,ph713,
Time: 0,Cell: 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

Time: 1.00001,Cell: 6,0,0,176,0,0,0,63,0,0,0,0,0,215,0,
,Cell: 7,0,0,200,0,0,0,65,0,0,0,0,0,225,0,
,Cell: 8,0,0,176,0,0,0,72,0,0,0,0,0,226,0,
,Cell: 9,0,0,187,0,0,0,70,0,0,0,0,0,183,0,
,Cell: 10,0,0,156,0,0,0,46,0,0,0,0,0,132,0,
,Cell: 11,0,0,155,0,0,0,67,0,0,0,0,0,148,0,
,Cell: 12,0,0,157,0,0,0,55,0,0,0,0,0,170,0,
,Cell: 13,0,0,212,0,0,0,72,0,0,0,0,0,221,0,
,Cell: 14,0,0,183,0,0,0,58,0,0,0,0,0,170,0,
,Cell: 15,0,0,185,0,0,0,55,0,0,0,0,0,217,0,

# Showing cells 0-10 until 1.00001 min
