
# This file can be used as a template for user-created/modified analysis inputs in the context of this particular model for these particular command-line arguments.
# The row after next MUST remain in the file in order for it to be parsable by the CSV reader. They indicate the following:
cell-total, time-start, time-col, cell-start, cell-end, specie-option,
20,0,1,0,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,

Time,Cell,ph1,ph7,ph13,pd,mh1,mh7,mh13,md,ph11,ph17,ph113,ph77,ph1313,ph713,
Time: 0,Cell: 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

Time: 1.00001,Cell: 20,0,0,31,0,0,0,46,0,0,0,0,0,0,0,
,Cell: 21,0,0,44,0,0,0,46,0,0,0,0,0,1,0,
,Cell: 22,0,0,49,0,0,0,56,0,0,0,0,0,4,0,
,Cell: 23,0,0,54,0,0,0,46,0,0,0,0,0,2,0,
,Cell: 4,0,0,27,0,0,0,36,0,0,0,0,0,2,0,
,Cell: 5,0,0,52,0,0,0,62,0,0,0,0,0,3,0,
,Cell: 6,0,0,30,0,0,0,51,0,0,0,0,0,0,0,
,Cell: 7,0,0,18,0,0,0,49,0,0,0,0,0,1,0,
,Cell: 8,0,0,34,0,0,0,50,0,0,0,0,0,2,0,
,Cell: 9,0,0,50,0,0,0,50,0,0,0,0,0,5,0,
,Cell: 10,0,0,39,0,0,0,43,0,0,0,0,0,2,0,
,Cell: 11,0,0,39,0,0,0,42,0,0,0,0,0,0,0,
,Cell: 12,0,0,33,0,0,0,38,0,0,0,0,0,1,0,
,Cell: 13,0,0,41,0,0,0,46,0,0,0,0,0,3,0,
,Cell: 14,0,0,47,0,0,0,43,0,0,0,0,0,0,0,
,Cell: 15,0,0,56,0,0,0,45,0,0,0,0,0,1,0,
,Cell: 16,0,0,54,0,0,0,46,0,0,0,0,0,2,0,
,Cell: 17,0,0,49,0,0,0,56,0,0,0,0,0,4,0,
,Cell: 18,0,0,44,0,0,0,46,0,0,0,0,0,1,0,
,Cell: 19,0,0,31,0,0,0,46,0,0,0,0,0,0,0,

Time: 2.00001,Cell: 20,0,0,210,0,0,0,79,0,0,0,0,0,98,0,
,Cell: 21,0,0,202,0,0,0,82,0,0,0,0,0,95,0,
,Cell: 22,0,0,209,0,0,0,88,0,0,0,0,0,107,0,
,Cell: 23,0,0,200,0,0,0,93,0,0,0,0,0,104,0,
,Cell: 24,0,0,210,0,0,0,79,0,0,0,0,0,98,0,
,Cell: 25,0,0,209,0,0,0,88,0,0,0,0,0,107,0,
,Cell: 26,0,0,202,0,0,0,82,0,0,0,0,0,95,0,
,Cell: 27,0,0,200,0,0,0,93,0,0,0,0,0,104,0,
,Cell: 8,0,0,214,0,0,0,88,0,0,0,0,0,108,0,
,Cell: 9,0,0,197,0,0,0,88,0,0,0,0,0,96,0,
,Cell: 10,0,0,176,0,0,0,77,0,0,0,0,0,79,0,
,Cell: 11,0,0,174,0,0,0,85,0,0,0,0,0,86,0,
,Cell: 12,0,0,169,0,0,0,87,0,0,0,0,0,86,0,
,Cell: 13,0,0,199,0,0,0,81,0,0,0,0,0,91,0,
,Cell: 14,0,0,188,0,0,0,82,0,0,0,0,0,94,0,
,Cell: 15,0,0,189,0,0,0,85,0,0,0,0,0,102,0,
,Cell: 16,0,0,184,0,0,0,80,0,0,0,0,0,99,0,
,Cell: 17,0,0,234,0,0,0,90,0,0,0,0,0,105,0,
,Cell: 18,0,0,184,0,0,0,79,0,0,0,0,0,73,0,
,Cell: 19,0,0,184,0,0,0,87,0,0,0,0,0,68,0,

Time: 3.00001,Cell: 20,0,0,304,0,0,0,129,0,0,0,0,0,313,0,
,Cell: 21,0,0,312,0,0,0,120,0,0,0,0,0,305,0,
,Cell: 22,0,0,281,0,0,0,116,0,0,0,0,0,315,0,
,Cell: 23,0,0,301,0,0,0,127,0,0,0,0,0,351,0,
,Cell: 24,0,0,275,0,0,0,116,0,0,0,0,0,327,0,
,Cell: 25,0,0,286,0,0,0,121,0,0,0,0,0,378,0,
,Cell: 26,0,0,286,0,0,0,111,0,0,0,0,0,329,0,
,Cell: 27,0,0,300,0,0,0,123,0,0,0,0,0,365,0,
,Cell: 28,0,0,286,0,0,0,121,0,0,0,0,0,378,0,
,Cell: 29,0,0,275,0,0,0,116,0,0,0,0,0,327,0,
,Cell: 30,0,0,300,0,0,0,123,0,0,0,0,0,365,0,
,Cell: 31,0,0,286,0,0,0,111,0,0,0,0,0,329,0,
,Cell: 12,0,0,259,0,0,0,108,0,0,0,0,0,288,0,
,Cell: 13,0,0,260,0,0,0,126,0,0,0,0,0,314,0,
,Cell: 14,0,0,289,0,0,0,117,0,0,0,0,0,311,0,
,Cell: 15,0,0,298,0,0,0,116,0,0,0,0,0,321,0,
,Cell: 16,0,0,293,0,0,0,121,0,0,0,0,0,308,0,
,Cell: 17,0,0,283,0,0,0,118,0,0,0,0,0,353,0,
,Cell: 18,0,0,253,0,0,0,115,0,0,0,0,0,274,0,
,Cell: 19,0,0,268,0,0,0,118,0,0,0,0,0,296,0,

Time: 4.00001,Cell: 20,0,0,330,0,0,0,153,0,0,0,0,0,641,0,
,Cell: 21,0,0,316,0,0,0,147,0,0,0,0,0,646,0,
,Cell: 22,0,0,317,0,0,0,140,0,0,0,0,0,593,0,
,Cell: 23,0,0,345,0,0,0,168,0,0,0,0,0,680,0,
,Cell: 24,0,0,358,0,0,0,156,0,0,0,0,0,643,0,
,Cell: 25,0,0,333,0,0,0,157,0,0,0,0,0,687,0,
,Cell: 26,0,0,324,0,0,0,147,0,0,0,0,0,596,0,
,Cell: 27,0,0,309,0,0,0,160,0,0,0,0,0,704,0,
,Cell: 28,0,0,337,0,0,0,156,0,0,0,0,0,684,0,
,Cell: 29,0,0,327,0,0,0,158,0,0,0,0,0,619,0,
,Cell: 30,0,0,368,0,0,0,148,0,0,0,0,0,699,0,
,Cell: 31,0,0,343,0,0,0,149,0,0,0,0,0,573,0,
,Cell: 32,0,0,337,0,0,0,156,0,0,0,0,0,684,0,
,Cell: 33,0,0,368,0,0,0,148,0,0,0,0,0,699,0,
,Cell: 34,0,0,327,0,0,0,158,0,0,0,0,0,619,0,
,Cell: 35,0,0,343,0,0,0,149,0,0,0,0,0,573,0,
,Cell: 16,0,0,337,0,0,0,152,0,0,0,0,0,635,0,
,Cell: 17,0,0,346,0,0,0,155,0,0,0,0,0,654,0,
,Cell: 18,0,0,340,0,0,0,142,0,0,0,0,0,539,0,
,Cell: 19,0,0,330,0,0,0,147,0,0,0,0,0,591,0,

Time: 5.00001,Cell: 20,0,0,402,0,0,0,179,0,0,0,0,0,1006,0,
,Cell: 21,0,0,372,0,0,0,180,0,0,0,0,0,978,0,
,Cell: 22,0,0,387,0,0,0,161,0,0,0,0,0,915,0,
,Cell: 23,0,0,373,0,0,0,197,0,0,0,0,0,1082,0,
,Cell: 24,0,0,412,0,0,0,190,0,0,0,0,0,1013,0,
,Cell: 25,0,0,388,0,0,0,192,0,0,0,0,0,1043,0,
,Cell: 26,0,0,357,0,0,0,176,0,0,0,0,0,915,0,
,Cell: 27,0,0,372,0,0,0,171,0,0,0,0,0,1041,0,
,Cell: 28,0,0,390,0,0,0,177,0,0,0,0,0,1055,0,
,Cell: 29,0,0,405,0,0,0,174,0,0,0,0,0,1013,0,
,Cell: 30,0,0,383,0,0,0,178,0,0,0,0,0,1078,0,
,Cell: 31,0,0,357,0,0,0,177,0,0,0,0,0,912,0,
,Cell: 32,0,0,353,0,0,0,165,0,0,0,0,0,1059,0,
,Cell: 33,0,0,392,0,0,0,167,0,0,0,0,0,1070,0,
,Cell: 34,0,0,399,0,0,0,186,0,0,0,0,0,987,0,
,Cell: 35,0,0,336,0,0,0,187,0,0,0,0,0,935,0,
,Cell: 36,0,0,399,0,0,0,186,0,0,0,0,0,987,0,
,Cell: 37,0,0,392,0,0,0,167,0,0,0,0,0,1070,0,
,Cell: 38,0,0,336,0,0,0,187,0,0,0,0,0,935,0,
,Cell: 39,0,0,353,0,0,0,165,0,0,0,0,0,1059,0,

